NTA,Avg_Job,Avg_saving
Astoria,,11409.986666666666
Baisley Park,,21522.74
Battery Park City-Lower Manhattan,,469890.79666666663
Bedford,,62113.34333333333
Bensonhurst West,,-379.47
Borough Park,,15107.27
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,483.61
Brooklyn Heights-Cobble Hill,,8639.303333333333
Brownsville,,-35782.46666666667
Bushwick South,10.0,26140.455000000005
Canarsie,,22550.86
Carroll Gardens-Columbia Street-Red Hook,,24337.390000000003
Central Harlem North-Polo Grounds,,40326.48
Central Harlem South,,20949.57
Claremont-Bathgate,,48124.58
Clinton Hill,,22152.39
Co-op City,,6108.73
College Point,2.0,17159.372857142855
Corona,,22228.85
Crown Heights North,,4036.298888888889
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,59950.340000000004
East Flatbush-Farragut,,43276.46
East Harlem North,,11212.470000000001
East New York,15.0,48433.09333333333
East New York (Pennsylvania Ave),,13415.949999999999
East Tremont,,5047.19
East Williamsburg,,13990.626363636366
Eastchester-Edenwald-Baychester,,14602.1
Elmhurst-Maspeth,,18360.97
Flatlands,,1014.91
Flushing,,12882.696666666665
Forest Hills,,7324.68
Glendale,,4338.885
Greenpoint,,9753.649285714284
Highbridge,,14935.21
Hudson Yards-Chelsea-Flatiron-Union Square,,13816.475
Hunters Point-Sunnyside-West Maspeth,,23931.398933333337
Hunts Point,12.0,39246.016153846154
Jamaica,,7988.0650000000005
Laurelton,,172404.21
Manhattanville,,2760.8888888888887
Mariner's Harbor-Arlington-Port Ivory-Graniteville,,127977.98666666668
Maspeth,10.0,6658.283333333334
Midtown-Midtown South,,36324.27
Midwood,,326512.37333333335
Morrisania-Melrose,,3131.51
Mott Haven-Port Morris,3.3333333333333335,17843.937857142857
Murray Hill-Kips Bay,,4840.28
New Springville-Bloomfield-Travis,,283173.4733333333
North Side-South Side,,24483.37
Norwood,,321001.18
Ocean Hill,,1203.13
Ocean Parkway South,,24833.85
Old Astoria,,280.84
Ozone Park,,4317.745
Park Slope-Gowanus,,29368.325
Port Richmond,,8226.03
Prospect Lefferts Gardens-Wingate,,13051.03
Queens Village,,4480.13
Queensbridge-Ravenswood-Long Island City,,61830.770625
Richmond Hill,,14175.57
Ridgewood,,12641.289999999999
Rossville-Woodrow,,7385.71
Rugby-Remsen Village,,474.68
Seagate-Coney Island,,37985.16
SoHo-TriBeCa-Civic Center-Little Italy,,37214.024
Soundview-Castle Hill-Clason Point-Harding Park,,13539.12
Springfield Gardens South-Brookville,,17757.662
St. Albans,,27251.12
Steinway,20.0,11227.155714285715
Sunset Park West,,14316.976875000002
Van Nest-Morris Park-Westchester Square,,267012.59500000003
Washington Heights South,,1688.25
Westchester-Unionport,,12850.79
Whitestone,10.0,62038.306666666664
Williamsburg,,23570.08
Windsor Terrace,,78573.32
Woodside,,5625.736666666667
park-cemetery-etc-Brooklyn,,14327.419333333331
